Tanggal,NO2
2025-01-03T00:00:00Z,5.829905512655387e-05
2025-01-06T00:00:00Z,9.930930900736712e-05
2025-01-07T00:00:00Z,0.0001031252249958925
2025-01-09T00:00:00Z,7.522165105910972e-05
2025-01-18T00:00:00Z,5.894049293904876e-05
2025-01-19T00:00:00Z,5.019345189793967e-05
2025-01-22T00:00:00Z,3.656813350971788e-05
2025-01-25T00:00:00Z,5.164506728760898e-05
2025-01-26T00:00:00Z,6.0336795286275446e-05
2025-02-06T00:00:00Z,3.986578963122156e-05
2025-02-08T00:00:00Z,7.482921046175761e-05
2025-02-09T00:00:00Z,3.611041271748642e-05
2025-02-12T00:00:00Z,6.303070161569242e-05
2025-02-13T00:00:00Z,8.587328375142533e-05
2025-02-16T00:00:00Z,2.1294181351549923e-05
2025-02-19T00:00:00Z,9.23303741728887e-05
2025-02-25T00:00:00Z,8.60176751302788e-05
2025-03-01T00:00:00Z,5.3274146011972334e-05
2025-03-02T00:00:00Z,3.7286290989868576e-05
2025-03-03T00:00:00Z,3.104839318742355e-05
2025-03-05T00:00:00Z,3.432991009807059e-05
2025-03-11T00:00:00Z,4.370059468783438e-05
2025-03-12T00:00:00Z,4.249878475093283e-05
2025-03-21T00:00:00Z,7.318806456169114e-05
2025-03-25T00:00:00Z,5.385197800933384e-05
2025-03-26T00:00:00Z,6.852134538348764e-05
2025-03-27T00:00:00Z,5.330048588803038e-05
2025-04-01T00:00:00Z,6.503845361294225e-05
2025-04-04T00:00:00Z,2.0067900550202467e-05
2025-04-06T00:00:00Z,6.755706635885872e-05
2025-04-07T00:00:00Z,4.1286449231847655e-05
2025-04-17T00:00:00Z,0.0001268706109840423
2025-04-22T00:00:00Z,9.104457785724662e-05
2025-04-23T00:00:00Z,0.00010641225526342168
2025-04-24T00:00:00Z,0.00016156310448423028
2025-04-26T00:00:00Z,5.243266059551388e-05
2025-04-27T00:00:00Z,0.0001766179848345928
2025-04-28T00:00:00Z,4.703174727183068e-05
2025-04-29T00:00:00Z,4.661709590436658e-05
2025-04-30T00:00:00Z,3.6570757401932497e-05
2025-05-01T00:00:00Z,8.752517533139326e-05
2025-05-03T00:00:00Z,6.327588198473677e-05
2025-05-04T00:00:00Z,3.769794420804829e-05
2025-05-05T00:00:00Z,2.3260068360286823e-05
2025-05-10T00:00:00Z,4.28214389103232e-05
2025-05-11T00:00:00Z,5.8151912526227534e-05
2025-05-14T00:00:00Z,5.088799116492737e-05
2025-05-16T00:00:00Z,4.28034882133943e-05
2025-05-17T00:00:00Z,3.544416176737286e-05
2025-05-18T00:00:00Z,2.8064417165296615e-05
2025-05-21T00:00:00Z,2.769662023638375e-05
2025-05-24T00:00:00Z,4.978852424149712e-05
2025-05-25T00:00:00Z,5.346330067368399e-05
2025-05-28T00:00:00Z,4.837092637899332e-05
2025-05-29T00:00:00Z,6.329157986328937e-05
2025-05-30T00:00:00Z,8.235734276240692e-05
2025-05-31T00:00:00Z,6.387144821928814e-05
2025-06-03T00:00:00Z,7.071142135828268e-05
2025-06-04T00:00:00Z,4.456721217138693e-05
2025-06-05T00:00:00Z,8.68848810569034e-05
2025-06-06T00:00:00Z,3.515795469866134e-05
2025-06-08T00:00:00Z,2.519115969334962e-05
2025-06-10T00:00:00Z,1.367671211482957e-05
2025-06-11T00:00:00Z,3.272345566074364e-05
2025-06-12T00:00:00Z,1.686641326159588e-05
2025-06-15T00:00:00Z,2.188175449191476e-05
2025-06-16T00:00:00Z,2.9018346594966715e-05
2025-06-17T00:00:00Z,4.000853368779645e-05
2025-06-21T00:00:00Z,3.4564738143672e-05
2025-06-23T00:00:00Z,2.8460321118473075e-05
2025-06-24T00:00:00Z,4.81572060380131e-05
2025-06-27T00:00:00Z,2.018617760768393e-05
2025-06-30T00:00:00Z,4.334211325840442e-05
2025-07-01T00:00:00Z,3.754965018742951e-05
2025-07-02T00:00:00Z,2.8778576051990967e-05
2025-07-05T00:00:00Z,2.933947644123691e-05
2025-07-07T00:00:00Z,2.4566637875977904e-05
2025-07-08T00:00:00Z,2.354900448153785e-05
2025-07-09T00:00:00Z,0.00012461008979395652
2025-07-10T00:00:00Z,0.0001721264716252335
2025-07-11T00:00:00Z,5.068842074251734e-05
2025-07-13T00:00:00Z,9.054344445758034e-06
2025-07-14T00:00:00Z,0.00012681868247454986
2025-07-15T00:00:00Z,6.726755115475196e-05
2025-07-16T00:00:00Z,6.792524436605163e-05
2025-07-17T00:00:00Z,4.336514302849537e-05
2025-07-18T00:00:00Z,9.789768591872416e-05
2025-07-19T00:00:00Z,0.00010253954314976
2025-07-20T00:00:00Z,4.4857630200567655e-05
2025-07-21T00:00:00Z,4.424192775331903e-05
2025-07-22T00:00:00Z,3.132229835500766e-05
2025-07-23T00:00:00Z,3.389762468941626e-05
2025-07-24T00:00:00Z,3.764140092243906e-05
2025-07-25T00:00:00Z,2.997251772285381e-05
2025-07-26T00:00:00Z,3.202018433512421e-05
2025-07-27T00:00:00Z,3.906522351826425e-05
2025-07-28T00:00:00Z,3.5643116461869795e-05
2025-07-29T00:00:00Z,2.3481981770601124e-05
2025-07-30T00:00:00Z,3.00568099191878e-05
2025-07-31T00:00:00Z,3.1359320928459056e-05
2025-08-01T00:00:00Z,3.02131961689156e-05
2025-08-02T00:00:00Z,2.6445638468430843e-05
2025-08-03T00:00:00Z,2.7941108783124943e-05
2025-08-04T00:00:00Z,3.771808042074554e-05
2025-08-06T00:00:00Z,3.6950696994608734e-05
2025-08-07T00:00:00Z,4.62652978967526e-05
2025-08-08T00:00:00Z,2.9310824932811855e-05
2025-08-09T00:00:00Z,3.213870968465926e-05
2025-08-10T00:00:00Z,4.2426072468515486e-05
2025-08-11T00:00:00Z,3.079953148699133e-05
2025-08-12T00:00:00Z,3.703132506416296e-05
2025-08-13T00:00:00Z,2.5791955067688832e-05
2025-08-14T00:00:00Z,4.252296821505297e-05
2025-08-15T00:00:00Z,3.948916400986491e-05
2025-08-16T00:00:00Z,3.402134689167724e-05
2025-08-17T00:00:00Z,2.017062342929421e-05
2025-08-20T00:00:00Z,3.2276489946525544e-05
2025-08-22T00:00:00Z,7.173050835262984e-05
2025-08-23T00:00:00Z,3.2339557947125286e-05
2025-08-24T00:00:00Z,4.560776324069593e-05
2025-08-25T00:00:00Z,4.44464635620534e-05
2025-08-26T00:00:00Z,5.117137152410578e-05
2025-08-28T00:00:00Z,3.395380008441862e-05
2025-08-29T00:00:00Z,2.7402539672038984e-05
2025-08-30T00:00:00Z,2.7971600502496585e-05
2025-08-31T00:00:00Z,2.3246634555107448e-05
2025-09-01T00:00:00Z,3.0095007559793885e-05
2025-09-02T00:00:00Z,2.231347070846823e-05
2025-09-03T00:00:00Z,2.490022450274409e-05
2025-09-04T00:00:00Z,3.829770594165893e-05
2025-09-05T00:00:00Z,4.239106419845484e-05
2025-09-06T00:00:00Z,3.35222121066181e-05
2025-09-07T00:00:00Z,4.284176975488663e-05
2025-09-09T00:00:00Z,3.5858433875546325e-05
2025-09-10T00:00:00Z,5.7704150094650686e-05
2025-09-11T00:00:00Z,2.977151052618865e-05
2025-09-12T00:00:00Z,3.960981894124416e-05
2025-09-13T00:00:00Z,2.64140171566396e-05
2025-09-14T00:00:00Z,3.043640799660352e-05
2025-09-15T00:00:00Z,2.814245272020344e-05
2025-09-16T00:00:00Z,5.173466979613295e-05
2025-09-19T00:00:00Z,1.768400579749141e-05
2025-09-21T00:00:00Z,3.380229463800788e-05
2025-09-22T00:00:00Z,4.075514880241826e-05
2025-09-23T00:00:00Z,0.0002546604682720499
2025-09-24T00:00:00Z,0.0002585107722552493
2025-09-25T00:00:00Z,3.1738948564452585e-05
2025-09-26T00:00:00Z,2.7641009182843845e-05
2025-09-27T00:00:00Z,3.055052911804523e-05
2025-09-28T00:00:00Z,2.536396095820237e-05
2025-09-29T00:00:00Z,2.9198627544246847e-05
2025-10-02T00:00:00Z,7.643982280569617e-05
2025-10-03T00:00:00Z,0.0001301977208640892
2025-10-04T00:00:00Z,3.015259426319972e-05
2025-10-05T00:00:00Z,1.990785312955268e-05
2025-10-06T00:00:00Z,4.440714246811695e-05
2025-10-07T00:00:00Z,3.8613386095676105e-05
2025-10-08T00:00:00Z,0.00010383076005382463
2025-10-09T00:00:00Z,4.643028023565421e-05
2025-10-10T00:00:00Z,2.6006893676822077e-05
2025-10-11T00:00:00Z,4.237476969137788e-05
2025-10-12T00:00:00Z,1.769331174727995e-05
2025-10-13T00:00:00Z,-1.0082445669468143e-06
2025-10-14T00:00:00Z,3.081906652369071e-05
2025-10-16T00:00:00Z,2.7669767405313905e-05
2025-10-17T00:00:00Z,1.9128590565742343e-05
2025-10-18T00:00:00Z,7.723393688744787e-06
2025-10-19T00:00:00Z,5.359453280107118e-05
2025-10-26T00:00:00Z,0.0001374751421584127
2025-11-07T00:00:00Z,5.023576068197144e-05
2025-11-20T00:00:00Z,7.369881495833397e-05
2025-11-21T00:00:00Z,3.738547093234956e-05
2025-11-22T00:00:00Z,0.00010635997750796378
2025-11-23T00:00:00Z,6.948224836378358e-05
2025-11-25T00:00:00Z,6.0332080465741456e-05
2025-11-26T00:00:00Z,0.00011648268991848454
2025-12-03T00:00:00Z,0.0001227753618877614
2025-12-05T00:00:00Z,5.068264999863459e-05
2025-12-11T00:00:00Z,4.549102595774457e-05
2025-12-12T00:00:00Z,0.00010955361358355732
2025-12-15T00:00:00Z,7.7468486779253e-05
2025-12-17T00:00:00Z,8.628101568319835e-05
2025-12-22T00:00:00Z,4.34528828918701e-05
2025-12-24T00:00:00Z,6.67209314997308e-05
2025-12-29T00:00:00Z,0.0002097940850944724
