Tanggal,NO2,NO2_Clean,NO2_Moving_Avg
2025-01-03 00:00:00+00:00,5.829905512655387e-05,5.829905512655387e-05,5.829905512655387e-05
2025-01-06 00:00:00+00:00,9.930930900736712e-05,9.930930900736712e-05,7.880418206696049e-05
2025-01-07 00:00:00+00:00,0.0001031252249958,0.0001031252249958,8.691119637657366e-05
2025-01-09 00:00:00+00:00,7.522165105910972e-05,7.522165105910972e-05,8.398881004720768e-05
2025-01-18 00:00:00+00:00,5.894049293904876e-05,5.894049293904876e-05,7.897914662557589e-05
2025-01-19 00:00:00+00:00,5.019345189793967e-05,5.019345189793967e-05,7.418153083763652e-05
2025-01-22 00:00:00+00:00,3.656813350971788e-05,3.656813350971788e-05,6.880818836221958e-05
2025-01-25 00:00:00+00:00,5.164506728760898e-05,5.164506728760898e-05,6.785761867094173e-05
2025-01-26 00:00:00+00:00,6.0336795286275446e-05,6.0336795286275446e-05,6.229011671078577e-05
2025-02-06 00:00:00+00:00,3.986578963122156e-05,3.986578963122156e-05,5.3253054515846e-05
2025-02-08 00:00:00+00:00,7.482921046175761e-05,7.482921046175761e-05,5.319699157336713e-05
2025-02-09 00:00:00+00:00,3.611041271748642e-05,3.611041271748642e-05,4.993555154171537e-05
2025-02-12 00:00:00+00:00,6.303070161569242e-05,6.303070161569242e-05,5.176944435853719e-05
2025-02-13 00:00:00+00:00,8.587328375142533e-05,8.587328375142533e-05,5.8813037250209686e-05
2025-02-16 00:00:00+00:00,2.1294181351549923e-05,2.1294181351549923e-05,5.4477196402201245e-05
2025-02-19 00:00:00+00:00,9.23303741728887e-05,9.23303741728887e-05,5.904770767171742e-05
2025-02-25 00:00:00+00:00,8.60176751302788e-05,8.60176751302788e-05,6.564083417158275e-05
2025-03-01 00:00:00+00:00,5.3274146011972334e-05,5.3274146011972334e-05,6.256153925018484e-05
2025-03-02 00:00:00+00:00,3.7286290989868576e-05,3.7286290989868576e-05,6.272952186052516e-05
2025-03-03 00:00:00+00:00,3.104839318742355e-05,3.104839318742355e-05,5.816062065648674e-05
2025-03-05 00:00:00+00:00,3.432991009807059e-05,3.432991009807059e-05,5.0797281563150353e-05
2025-03-11 00:00:00+00:00,4.370059468783438e-05,4.370059468783438e-05,5.3998197754048136e-05
2025-03-12 00:00:00+00:00,4.249878475093283e-05,4.249878475093283e-05,4.6879399265197296e-05
2025-03-21 00:00:00+00:00,7.318806456169114e-05,7.318806456169114e-05,4.504659775539906e-05
2025-03-25 00:00:00+00:00,5.385197800933384e-05,5.385197800933384e-05,4.5129145183593556e-05
2025-03-26 00:00:00+00:00,6.852134538348764e-05,6.852134538348764e-05,4.959129581125342e-05
2025-03-27 00:00:00+00:00,5.330048588803038e-05,5.330048588803038e-05,5.27701661970544e-05
2025-04-01 00:00:00+00:00,6.503845361294225e-05,6.503845361294225e-05,5.7157100984893206e-05
2025-04-04 00:00:00+00:00,2.0067900550202467e-05,2.0067900550202467e-05,5.378100182237436e-05
2025-04-06 00:00:00+00:00,6.755706635885872e-05,6.755706635885872e-05,5.736075633779235e-05
2025-04-07 00:00:00+00:00,4.1286449231847655e-05,4.1286449231847655e-05,5.2803382719243276e-05
2025-04-17 00:00:00+00:00,0.000126870610984,0.000126870610984,6.323461600133845e-05
2025-04-22 00:00:00+00:00,9.104457785724662e-05,9.104457785724662e-05,6.645222064044686e-05
2025-04-23 00:00:00+00:00,0.0001064122552634,0.0001064122552634,7.403961626549968e-05
2025-04-24 00:00:00+00:00,0.0001615631044842,0.0001615631044842,8.782885210425078e-05
2025-04-26 00:00:00+00:00,5.243266059551388e-05,5.243266059551388e-05,9.245238925358099e-05
2025-04-27 00:00:00+00:00,0.0001766179848345,0.0001766179848345,0.00010803252046438688
2025-04-28 00:00:00+00:00,4.703174727183068e-05,4.703174727183068e-05,0.0001088532773272416
2025-04-29 00:00:00+00:00,4.661709590436658e-05,4.661709590436658e-05,9.738848945872255e-05
2025-04-30 00:00:00+00:00,3.6570757401932497e-05,3.6570757401932497e-05,8.960651510796337e-05
2025-05-01 00:00:00+00:00,8.752517533139326e-05,8.752517533139326e-05,8.690836083196242e-05
2025-05-03 00:00:00+00:00,6.327588198473677e-05,6.327588198473677e-05,7.28673290463248e-05
2025-05-04 00:00:00+00:00,3.769794420804829e-05,3.769794420804829e-05,7.076236956240115e-05
2025-05-05 00:00:00+00:00,2.3260068360286823e-05,2.3260068360286823e-05,4.88540957803707e-05
2025-05-10 00:00:00+00:00,4.28214389103232e-05,4.28214389103232e-05,4.82526231572982e-05
